Latitude,Longitude
-45.2929,-85.296
-45.1095,-84.8366
-44.9241,-84.3804
-44.7209,-83.8896
-44.5314,-83.4399
-44.3398,-82.9932
-44.1463,-82.5495
-43.9509,-82.109
-43.7536,-81.6715
-43.5545,-81.2371
-43.3535,-80.8057
-43.1507,-80.3774
-42.9461,-79.9519
-42.7398,-79.5296
-42.5318,-79.1103
-42.322,-78.6939
-42.1106,-78.2805
-41.8975,-77.87
-41.6827,-77.4624
-41.4663,-77.0576
-41.2302,-76.6224
-41.0105,-76.2236
-40.7893,-75.8277
-40.5666,-75.4346
-40.3424,-75.0442
-40.1167,-74.6567
-39.8895,-74.2718
-39.6609,-73.8898
-39.431,-73.5104
-39.2189,-73.1649
-38.9862,-72.7906
-38.7522,-72.4189
-38.5168,-72.0498
-38.2801,-71.6833
-38.0422,-71.3193
-37.8029,-70.9579
-37.5423,-70.569
-37.3004,-70.2127
-37.0572,-69.8588
-36.813,-69.5074
-36.5675,-69.1584
-36.3208,-68.8118
-36.0731,-68.4675
-35.8241,-68.1255
-35.5741,-67.7859
-35.323,-67.4485
